ds,y
2016-01-28,26701
2016-01-29,26709
2016-02-01,26973
2016-02-02,27008
2016-02-03,27285
2016-02-04,27656
2016-02-05,27568
2016-02-08,28367
2016-02-09,28325
2016-02-10,28211
2016-02-11,29706
2016-02-12,29287
2016-02-15,28595
2016-02-16,28800
2016-02-17,28781
2016-02-18,29210
2016-02-19,29432
2016-02-22,28916
2016-02-23,29234
2016-02-24,29523
2016-02-25,29735
2016-02-26,29290
2016-02-29,29437
2016-03-01,29097
2016-03-02,29219
2016-03-03,29381
2016-03-04,29519
2016-03-07,29597
2016-03-08,29819
2016-03-09,29597
2016-03-10,29928
2016-03-11,29504
2016-03-14,29204
2016-03-15,29050
2016-03-16,28970
2016-03-17,29357
2016-03-18,29135
2016-03-21,28937
2016-03-22,29047
2016-03-23,28568
2016-03-24,28560
2016-03-28,28400
2016-03-29,28616
2016-03-30,28301
2016-03-31,28441
2016-04-01,28056
2016-04-04,28086
2016-04-05,28562
2016-04-06,28571
2016-04-07,28972
2016-04-08,29047
2016-04-11,29254
2016-04-12,29250
2016-04-13,29128
2016-04-14,28731
2016-04-15,28918
2016-04-18,28935
2016-04-19,29255
2016-04-20,29249
2016-04-21,29287
2016-04-22,28941
2016-04-25,29183
2016-04-26,29158
2016-04-27,29319
2016-04-28,29627
2016-04-29,30138
2016-05-02,30213
2016-05-03,30154
2016-05-04,29934
2016-05-05,29868
2016-05-06,30366
2016-05-09,29805
2016-05-10,29785
2016-05-11,29933
2016-05-12,29904
2016-05-13,30023
2016-05-16,29963
2016-05-17,30045
2016-05-18,30049
2016-05-19,29800
2016-05-20,29693
2016-05-23,29682
2016-05-24,29306
2016-05-25,28945
2016-05-26,28729
2016-05-27,28590
2016-05-30,28590
2016-05-31,28610
2016-06-01,28626
2016-06-02,28554
2016-06-03,29216
2016-06-06,29329
2016-06-07,29239
2016-06-08,29491
2016-06-09,29757
2016-06-10,29851
2016-06-13,30181
2016-06-14,30357
2016-06-15,30262
2016-06-16,30392
2016-06-17,30373
2016-06-20,30478
2016-06-21,30072
2016-06-22,29898
2016-06-23,29686
2016-06-24,31131
2016-06-27,31218
2016-06-28,30999
2016-06-29,30986
2016-06-30,30851
2016-07-01,31077
2016-07-04,31396
2016-07-05,30841
2016-07-06,32018
2016-07-07,31817
2016-07-08,31657
2016-07-11,31524
2016-07-12,31001
2016-07-13,31225
2016-07-14,30895
2016-07-15,30922
2016-07-18,30950
2016-07-19,31021
2016-07-20,30666
2016-07-21,30940
2016-07-22,30794
2016-07-25,30814
2016-07-26,30822
2016-07-27,30878
2016-07-28,30795
2016-07-29,31099
2016-08-01,31011
2016-08-02,31282
2016-08-03,31199
2016-08-04,31317
2016-08-05,30779
2016-08-08,30998
2016-08-09,31133
2016-08-10,31219
2016-08-11,31171
2016-08-12,31080
2016-08-16,31349
2016-08-17,31314
2016-08-18,31411
2016-08-19,31365
2016-08-22,31395
2016-08-23,31373
2016-08-24,31049
2016-08-25,30945
2016-08-26,31023
2016-08-29,31077
2016-08-30,30840
2016-08-31,30746
2016-09-01,30710
2016-09-02,30900
2016-09-05,31025
2016-09-06,31401
2016-09-07,31336
2016-09-08,31239
2016-09-09,31261
2016-09-12,31087
2016-09-13,31141
2016-09-14,31100
2016-09-15,30950
2016-09-16,30851
2016-09-19,30936
2016-09-20,30892
2016-09-21,31207
2016-09-22,31335
2016-09-23,31288
2016-09-26,31351
2016-09-27,31003
2016-09-28,30963
2016-09-29,31224
2016-09-30,30814
2016-10-03,30749
2016-10-04,30068
2016-10-05,30004
2016-10-06,29615
2016-10-07,29591
2016-10-10,29662
2016-10-11,29712
2016-10-12,29662
2016-10-13,29697
2016-10-14,29638
2016-10-17,29675
2016-10-18,29773
2016-10-19,29883
2016-10-20,29891
2016-10-21,29936
2016-10-24,29820
2016-10-25,30034
2016-10-26,29913
2016-10-27,30054
2016-10-28,30131
2016-10-30,30151
2016-10-31,30057
2016-11-01,30329
2016-11-02,30759
2016-11-03,30674
2016-11-04,30689
2016-11-07,30118
2016-11-08,29899
2016-11-09,29961
2016-11-10,29986
2016-11-11,29461
2016-11-14,29676
2016-11-15,29391
2016-11-16,29463
2016-11-17,29185
2016-11-18,29005
2016-11-21,29197
2016-11-22,29182
2016-11-23,28885
2016-11-24,28816
2016-11-25,28671
2016-11-28,28793
2016-11-29,28853
2016-11-30,28428
2016-12-01,28062
2016-12-02,28445
2016-12-05,28236
2016-12-06,27944
2016-12-07,28043
2016-12-08,27896
2016-12-09,27701
2016-12-12,27843
2016-12-13,27710
2016-12-14,27746
2016-12-15,27130
2016-12-16,27308
2016-12-19,27392
2016-12-20,27262
2016-12-21,27103
2016-12-22,27152
2016-12-23,27186
2016-12-26,27241
2016-12-27,27431
2016-12-28,27539
2016-12-29,27810
2016-12-30,27700
2017-01-02,27828
2017-01-03,28102
2017-01-04,28085
2017-01-05,28890
2017-01-06,27960
2017-01-09,28124
2017-01-10,28210
2017-01-11,28353
2017-01-12,28463
2017-01-13,28440
2017-01-16,28601
2017-01-17,28797
2017-01-18,28852
2017-01-19,28588
2017-01-20,28685
2017-01-23,28876
2017-01-24,28815
2017-01-25,28472
2017-01-27,28449
2017-01-30,28642
2017-01-31,29172
2017-02-01,28981
2017-02-02,29064
2017-02-03,29166
2017-02-06,29202
2017-02-07,29348
2017-02-08,29371
2017-02-09,29115
2017-02-10,29195
2017-02-13,29057
2017-02-14,29027
2017-02-15,29138
2017-02-16,29377
2017-02-17,29359
2017-02-20,29324
2017-02-21,29314
2017-02-22,29223
2017-02-23,29440
2017-02-24,29613
2017-02-27,29732
2017-02-28,29592
2017-03-01,29529
2017-03-02,29204
2017-03-03,29442
2017-03-06,28979
2017-03-07,28791
2017-03-08,28660
2017-03-09,28491
2017-03-10,28417
2017-03-13,28291
2017-03-14,28100
2017-03-15,28019
2017-03-16,28436
2017-03-17,28528
2017-03-20,28518
2017-03-21,28853
2017-03-22,28886
2017-03-23,28816
2017-03-24,28809
2017-03-27,28839
2017-03-28,28872
2017-03-29,28762
2017-03-30,28559
2017-03-31,28612
2017-04-03,28720
2017-04-04,28960
2017-04-05,28617
2017-04-06,28697
2017-04-07,28650
2017-04-10,28699
2017-04-11,29149
2017-04-12,29189
2017-04-13,29358
2017-04-17,29392
2017-04-18,29518
2017-04-19,29313
2017-04-20,29308
2017-04-21,29432
2017-04-24,29128
2017-04-25,28827
2017-04-26,28757
2017-04-27,28784
2017-04-28,28872
2017-05-01,28654
2017-05-02,28571
2017-05-03,28571
2017-05-04,28060
2017-05-05,28184
2017-05-08,28119
2017-05-09,27981
2017-05-10,28007
2017-05-11,28022
2017-05-12,28019
2017-05-15,28008
2017-05-16,28109
2017-05-17,28614
2017-05-18,28710
2017-05-19,28634
2017-05-22,28783
2017-05-23,28808
2017-05-24,28719
2017-05-25,28638
2017-05-26,28847
2017-05-29,28874
2017-05-30,28704
2017-05-31,28905
2017-06-01,28749
2017-06-02,28949
2017-06-05,29111
2017-06-06,29481
2017-06-07,29376
2017-06-08,29049
2017-06-09,28938
2017-06-12,28917
2017-06-13,28862
2017-06-14,28946
2017-06-15,28686
2017-06-16,28616
2017-06-19,28473
2017-06-20,28475
2017-06-21,28495
2017-06-22,28557
2017-06-23,28648
2017-06-26,28426
2017-06-27,28483
2017-06-28,28485
2017-06-29,28527
2017-06-30,28295
2017-07-03,27952
2017-07-04,28043
2017-07-05,28051
2017-07-06,28143
2017-07-07,27812
2017-07-10,27840
2017-07-11,27871
2017-07-12,27889
2017-07-13,27868
2017-07-14,28022
2017-07-17,28147
2017-07-18,28280
2017-07-19,28270
2017-07-20,28345
2017-07-21,28541
2017-07-24,28530
2017-07-25,28490
2017-07-26,28396
2017-07-27,28477
2017-07-28,28596
2017-07-31,28588
2017-08-01,28514
2017-08-02,28486
2017-08-03,28447
2017-08-04,28373
2017-08-07,28419
2017-08-08,28357
2017-08-09,28800
2017-08-10,29130
2017-08-11,29158
2017-08-14,29042
2017-08-16,28878
2017-08-17,29093
2017-08-18,29109
2017-08-21,29224
2017-08-22,29061
2017-08-23,29090
2017-08-24,29021
2017-08-25,29086
2017-08-28,29425
2017-08-29,29588
2017-08-30,29540
2017-08-31,29756
2017-09-01,29788
2017-09-04,30174
2017-09-05,30226
2017-09-06,30088
2017-09-07,30287
2017-09-08,30271
2017-09-11,29942
2017-09-12,29953
2017-09-13,29896
2017-09-14,30020
2017-09-15,29869
2017-09-18,29561
2017-09-19,29628
2017-09-20,29780
2017-09-21,29584
2017-09-22,29608
2017-09-25,30065
2017-09-26,29885
2017-09-27,29673
2017-09-28,29624
2017-09-29,29549
2017-10-03,29400
2017-10-04,29331
2017-10-05,29412
2017-10-06,29510
2017-10-09,29670
2017-10-10,29768
2017-10-11,29659
2017-10-12,29756
2017-10-13,29800
2017-10-16,29808
2017-10-17,29565
2017-10-18,29536
2017-10-19,29654
2017-10-20,29541
2017-10-23,29499
2017-10-24,29498
2017-10-25,29362
2017-10-26,29236
2017-10-27,29272
2017-10-30,29349
2017-10-31,29040
2017-11-01,29120
2017-11-02,29242
2017-11-03,29191
2017-11-06,29363
2017-11-07,29457
2017-11-08,29562
2017-11-09,29670
2017-11-10,29508
2017-11-13,29619
2017-11-14,29620
2017-11-15,29528
2017-11-16,29491
2017-11-17,29658
2017-11-20,29339
2017-11-21,29334
2017-11-22,29504
2017-11-23,29420
2017-11-24,29375
2017-11-27,29460
2017-11-28,29381
2017-11-29,29215
2017-11-30,28992
2017-12-01,29217
2017-12-04,29059
2017-12-05,28893
2017-12-06,28972
2017-12-07,28670
2017-12-08,28588
2017-12-11,28429
2017-12-12,28318
2017-12-13,28377
2017-12-14,28500
2017-12-15,28441
2017-12-18,28663
2017-12-19,28555
2017-12-20,28617
2017-12-21,28596
2017-12-22,28757
2017-12-26,28924
2017-12-27,29092
2017-12-28,29171
2017-12-29,29372
2018-01-01,29324
2018-01-02,29392
2018-01-03,29481
2018-01-04,29472
2018-01-05,29465
2018-01-08,29270
2018-01-09,29173
2018-01-10,29343
2018-01-11,29404
2018-01-12,29553
2018-01-15,29763
2018-01-16,29830
2018-01-17,29761
2018-01-18,29644
2018-01-19,29743
2018-01-22,29806
2018-01-23,29876
2018-01-24,30244
2018-01-25,30367
2018-01-29,30074
2018-01-30,30052
2018-01-31,30064
2018-02-01,30512
2018-02-02,30399
2018-02-05,30286
2018-02-06,30182
2018-02-07,29976
2018-02-08,30103
2018-02-09,29999
2018-02-12,30133
2018-02-13,30195
2018-02-14,30605
2018-02-15,30549
2018-02-16,30785
2018-02-19,30715
2018-02-20,30524
2018-02-21,30459
2018-02-22,30564
2018-02-23,30492
2018-02-26,30518
2018-02-27,30306
2018-02-28,30423
2018-03-01,30181
2018-03-02,30473
2018-03-05,30429
2018-03-06,30568
2018-03-07,30461
2018-03-08,30436
2018-03-09,30408
2018-03-12,30340
2018-03-13,30387
2018-03-14,30413
2018-03-15,30314
2018-03-16,30251
2018-03-19,30432
2018-03-20,30284
2018-03-21,30464
2018-03-22,30506
2018-03-23,30901
2018-03-26,30889
2018-03-27,30717
2018-03-28,30518
2018-03-29,30426
2018-04-02,30961
2018-04-03,30625
2018-04-04,30886
2018-04-05,30505
2018-04-06,30605
2018-04-09,30675
2018-04-10,30798
2018-04-11,31244
2018-04-12,30897
2018-04-13,31005
2018-04-16,31167
2018-04-17,31257
2018-04-18,31410
2018-04-19,31479
2018-04-20,31314
2018-04-23,31164
2018-04-24,31262
2018-04-25,31301
2018-04-26,31158
2018-04-27,31129
2018-04-30,30947
2018-05-01,30874
2018-05-02,30926
2018-05-03,31003
2018-05-04,31068
2018-05-07,31247
2018-05-08,31200
2018-05-09,31303
2018-05-10,31352
2018-05-11,31500
2018-05-14,31496
2018-05-15,31186
2018-05-16,31007
2018-05-17,30986
2018-05-18,31093
2018-05-21,31114
2018-05-22,31111
2018-05-23,31186
2018-05-24,31461
2018-05-25,31194
2018-05-28,30971
2018-05-29,31184
2018-05-30,31030
2018-05-31,30882
2018-06-01,30568
2018-06-04,30708
2018-06-05,30699
2018-06-06,30755
2018-06-07,31055
2018-06-08,31076
2018-06-11,31035
2018-06-12,30952
2018-06-13,30952
2018-06-14,31145
2018-06-15,30804
2018-06-18,30773
2018-06-19,30702
2018-06-20,30605
2018-06-21,30451
2018-06-22,30498
2018-06-25,30540
2018-06-26,30480
2018-06-27,30606
2018-06-28,30431
2018-06-29,30363
2018-07-02,30153
2018-07-03,30469
2018-07-04,30510
2018-07-05,30541
2018-07-06,30582
2018-07-09,30638
2018-07-10,30551
2018-07-11,30344
2018-07-12,30175
2018-07-13,30131
2018-07-16,30103
2018-07-17,29757
2018-07-18,29799
2018-07-19,29913
2018-07-20,29957
2018-07-23,29914
2018-07-24,29912
2018-07-25,29959
2018-07-26,29836
2018-07-27,29805
2018-07-30,29755
2018-07-31,29638
2018-08-01,29462
2018-08-02,29520
2018-08-03,29800
2018-08-06,29563
2018-08-07,29534
2018-08-08,29544
2018-08-09,29605
2018-08-10,29706
2018-08-13,29665
2018-08-14,29664
2018-08-16,29275
2018-08-17,29275
2018-08-20,29435
2018-08-21,29542
2018-08-22,29627
2018-08-23,29576
2018-08-24,29882
2018-08-27,29973
2018-08-28,29981
2018-08-29,30144
2018-08-30,30131
2018-08-31,30116
2018-09-03,30327
2018-09-04,30221
2018-09-05,30310
2018-09-06,30565
2018-09-07,30509
2018-09-10,30725
2018-09-11,30732
2018-09-12,30664
2018-09-13,30470
2018-09-14,30453
2018-09-17,30778
2018-09-18,30811
2018-09-19,30649
2018-09-20,30623
2018-09-21,30609
2018-09-24,30862
2018-09-25,30838
2018-09-26,30608
2018-09-27,30356
2018-09-28,30479
2018-10-01,30614
2018-10-03,31025
2018-10-04,31136
2018-10-05,31233
2018-10-08,31096
2018-10-09,31161
2018-10-10,31247
2018-10-11,31793
2018-10-12,31670
2018-10-15,31877
2018-10-16,31701
2018-10-17,31702
2018-10-18,31885
2018-10-19,31737
2018-10-22,31729
2018-10-23,31871
2018-10-24,31723
2018-10-25,31683
2018-10-26,31764
2018-10-29,31730
2018-10-30,31725
2018-10-31,31631
2018-11-01,31783
2018-11-02,31737
2018-11-05,31783
2018-11-06,31657
2018-11-07,31602
2018-11-08,31408
2018-11-09,31023
2018-11-12,31014
2018-11-13,30778
2018-11-14,30838
2018-11-15,30831
2018-11-16,31017
2018-11-19,30888
2018-11-20,30830
2018-11-21,30839
2018-11-22,30613
2018-11-23,30513
2018-11-26,30574
2018-11-27,30423
2018-11-28,30457
2018-11-29,30253
2018-11-30,30186
2018-12-03,30787
2018-12-04,30964
2018-12-05,30926
2018-12-06,31005
2018-12-07,31440
2018-12-10,31895
2018-12-11,31812
2018-12-12,31626
2018-12-13,31414
2018-12-14,31437
2018-12-17,31501
2018-12-18,31075
2018-12-19,31139
2018-12-20,31219
2018-12-21,31126
2018-12-24,31375
2018-12-26,31463
2018-12-27,31611
2018-12-28,31506
2018-12-31,31489
2019-01-01,31560
2019-01-02,31934
2019-01-03,31939
2019-01-04,31679
2019-01-07,31652
2019-01-08,31736
2019-01-09,31993
2019-01-10,31878
2019-01-11,31924
2019-01-14,32130
2019-01-15,32169
2019-01-16,32272
2019-01-17,32253
2019-01-18,32089
2019-01-21,32039
2019-01-22,32154
2019-01-23,32135
2019-01-24,32016
2019-01-25,32339
2019-01-28,32536
2019-01-29,32891
2019-01-30,32903
2019-01-31,33100
2019-02-01,33405
2019-02-04,33455
2019-02-05,33381
2019-02-06,33222
2019-02-07,33056
2019-02-08,33125
2019-02-11,32931
2019-02-12,32747
2019-02-13,32909
2019-02-14,32970
2019-02-15,33263
2019-02-18,33463
2019-02-19,33753
2019-02-20,33719
2019-02-21,33302
2019-02-22,33369
2019-02-25,33159
2019-02-26,33228
2019-02-27,33171
2019-02-28,32902
2019-03-01,32533
2019-03-04,32505
2019-03-05,32015
2019-03-06,31954
2019-03-07,31946
2019-03-08,32174
2019-03-11,31915
2019-03-12,32015
2019-03-13,32225
2019-03-14,31832
2019-03-15,31853
2019-03-18,31685
2019-03-19,31985
2019-03-20,31740
2019-03-21,31842
2019-03-22,32155
2019-03-25,32223
2019-03-26,32113
2019-03-27,32019
2019-03-28,31624
2019-03-29,31703
2019-04-01,31570
2019-04-02,31535
2019-04-03,31450
2019-04-04,31503
2019-04-05,31566
2019-04-08,32076
2019-04-09,32098
2019-04-10,32174
2019-04-11,31663
2019-04-12,31760
2019-04-15,31760
2019-04-16,31474
2019-04-17,31410
2019-04-18,31403
2019-04-22,31531
2019-04-23,31525
2019-04-24,31759
2019-04-25,31843
2019-04-26,31868
2019-04-30,31625
2019-05-01,31563
2019-05-02,31203
2019-05-03,31341
2019-05-06,31578
2019-05-07,31739
2019-05-08,31697
2019-05-09,31926
2019-05-10,31917
2019-05-13,32499
2019-05-14,32248
2019-05-15,32261
2019-05-16,31985
2019-05-17,31809
2019-05-20,31566
2019-05-21,31442
2019-05-22,31452
2019-05-23,31696
2019-05-24,31554
2019-05-27,31630
2019-05-28,31569
2019-05-29,31760
2019-05-30,31831
2019-05-31,32131
2019-06-03,32405
2019-06-04,32465
2019-06-05,32607
2019-06-06,32734
2019-06-07,32867
2019-06-10,32611
2019-06-11,32576
2019-06-12,32685
2019-06-13,32884
2019-06-14,32984
2019-06-17,32961
2019-06-18,32939
2019-06-19,32976
2019-06-20,33838
2019-06-21,33960
2019-06-24,34214
2019-06-25,34300
2019-06-26,34135
2019-06-27,33931
2019-06-28,33947
2019-07-01,33348
2019-07-02,33779
2019-07-03,34077
2019-07-04,34023
2019-07-05,34370
2019-07-08,34535
2019-07-09,34533
2019-07-10,34765
2019-07-11,34612
2019-07-12,34812
2019-07-15,34792
2019-07-16,34738
2019-07-17,35039
2019-07-18,35117
2019-07-19,35033
2019-07-22,35143
2019-07-23,35030
2019-07-24,35036
2019-07-25,34850
2019-07-26,34815
2019-07-29,34788
2019-07-30,34737
2019-07-31,34714
2019-08-01,35134
2019-08-02,35705
2019-08-05,36711
2019-08-06,37182
2019-08-07,37899
2019-08-08,37311
2019-08-09,37558
2019-08-12,37812
2019-08-13,37268
2019-08-14,37688
2019-08-16,37487
2019-08-19,37484
2019-08-20,37640
2019-08-21,37598
2019-08-22,37779
2019-08-23,38357
2019-08-26,38415
2019-08-27,38644
2019-08-28,38772
2019-08-29,38426
2019-08-30,38300
2019-09-02,38708
2019-09-03,39314
2019-09-04,39337
2019-09-05,38504
2019-09-06,38551
2019-09-09,38459
2019-09-10,38248
2019-09-11,37965
2019-09-12,37747
2019-09-13,37517
2019-09-16,38161
2019-09-17,37995
2019-09-18,37837
2019-09-19,37672
2019-09-20,37669
2019-09-23,37905
2019-09-24,38091
2019-09-25,37571
2019-09-26,37773
2019-09-27,37706
2019-09-30,36873
2019-10-01,37377
2019-10-03,38012
2019-10-04,38002
2019-10-07,37978
2019-10-08,38242
2019-10-09,38384
2019-10-10,38120
2019-10-11,37839
2019-10-14,38250
2019-10-15,38067
2019-10-16,38248
2019-10-17,38216
2019-10-18,38121
2019-10-21,37969
2019-10-22,38025
2019-10-23,38124
2019-10-24,38452
2019-10-25,38362
2019-10-27,38280
2019-10-28,38103
2019-10-29,38110
2019-10-30,38369
2019-10-31,38842
2019-11-01,38652
2019-11-04,38734
2019-11-05,38458
2019-11-06,38239
2019-11-07,37595
2019-11-08,37705
2019-11-11,37688
2019-11-12,37740
2019-11-13,38107
2019-11-14,38269
2019-11-15,38002
2019-11-18,38228
2019-11-19,38206
2019-11-20,38155
2019-11-21,37971
2019-11-22,37927
2019-11-25,37782
2019-11-26,37775
2019-11-27,37578
2019-11-28,37780
2019-11-29,37961
2019-12-02,37915
2019-12-03,38267
2019-12-04,38188
2019-12-05,38095
2019-12-06,37748
2019-12-09,37638
2019-12-10,37604
2019-12-11,37693
2019-12-12,37559
2019-12-13,37776
2019-12-16,37873
2019-12-17,37961
2019-12-18,37932
2019-12-19,38110
2019-12-20,38002
2019-12-23,38231
2019-12-24,38624
2019-12-26,38767
2019-12-27,38978
2019-12-30,38823
2019-12-31,38999
2020-01-01,38938
2020-01-02,39220
2020-01-03,39925
2020-01-06,40448
2020-01-07,40635
2020-01-08,40078
2020-01-09,39806
2020-01-10,39849
2020-01-13,39541
2020-01-14,39443
2020-01-15,39598
2020-01-16,39676
2020-01-17,39920
2020-01-20,39927
2020-01-21,39892
2020-01-22,39893
2020-01-23,40255
2020-01-24,40322
2020-01-27,40557
2020-01-28,40200
2020-01-29,40321
2020-01-30,40897
2020-01-31,41012
2020-02-01,41099
2020-02-03,40633
2020-02-04,40056
2020-02-05,40213
2020-02-06,40287
2020-02-07,40563
2020-02-10,40607
2020-02-11,40353
2020-02-12,40427
2020-02-13,40580
2020-02-14,40879
2020-02-17,40686
2020-02-18,41311
2020-02-19,41463
2020-02-20,41886
2020-02-21,42511
2020-02-24,43456
2020-02-25,42675
2020-02-26,42349
2020-02-27,42193
2020-02-28,41763
2020-03-02,42017
2020-03-03,43100
2020-03-04,43235
2020-03-05,43874
2020-03-06,44098
2020-03-09,44308
2020-03-10,43694
2020-03-11,43334
2020-03-12,42217
2020-03-13,40382
2020-03-16,39548
2020-03-17,40279
2020-03-18,39764
2020-03-19,39889
2020-03-20,40419
2020-03-23,41317
2020-03-24,41873
2020-03-25,42713
2020-03-26,43631
2020-03-27,43590
2020-03-30,43883
2020-03-31,43225
2020-04-01,43578
