ds,y
2020-06-05,46346
2020-06-08,46110
2020-06-09,46595
2020-06-10,46629
2020-06-11,47405
2020-06-12,47325
2020-06-15,46999
2020-06-16,47534
2020-06-17,47320
2020-06-18,47328
2020-06-19,47907
2020-06-22,47912
2020-06-23,48186
2020-06-24,48105
2020-06-25,47952
2020-06-26,48363
2020-06-29,48194
2020-06-30,48861
2020-07-01,48400
2020-07-02,48437
2020-07-03,48336
2020-07-06,48247
2020-07-07,48796
2020-07-08,49160
2020-07-09,48896
2020-07-10,48883
2020-07-13,49180
2020-07-14,49277
2020-07-15,49182
2020-07-16,48811
2020-07-17,49001
2020-07-20,49067
2020-07-21,49559
2020-07-22,50115
2020-07-23,50762
2020-07-24,51120
2020-07-27,52227
2020-07-28,52731
2020-07-29,53207
2020-07-30,52986
2020-07-31,53582
2020-08-03,53927
2020-08-04,54784
2020-08-05,55597
2020-08-06,56117
2020-08-07,55018
2020-08-10,55243
2020-08-11,52144
2020-08-12,52505
2020-08-13,53148
2020-08-14,52451
2020-08-17,53435
2020-08-18,53738
2020-08-19,52824
2020-08-20,52302
2020-08-21,52045
2020-08-24,51385
2020-08-25,50936
2020-08-26,51619
2020-08-27,50507
2020-08-28,51050
2020-08-31,51099
2020-09-01,51017
2020-09-02,50577
2020-09-03,50768
2020-09-04,50728
2020-09-07,51149
2020-09-08,51433
2020-09-09,51486
2020-09-10,51832
2020-09-11,51393
2020-09-14,51759
2020-09-15,51818
2020-09-16,51876
2020-09-17,51498
2020-09-18,51764
2020-09-21,50512
2020-09-22,50454
2020-09-23,49576
2020-09-24,49959
2020-09-25,49539
2020-09-28,49928
2020-09-29,50607
2020-09-30,50232
2020-10-01,50345
2020-10-05,50809
2020-10-06,50617
2020-10-07,50133
2020-10-08,50239
2020-10-09,50872
2020-10-12,51166
2020-10-13,50306
2020-10-14,50614
2020-10-15,50775
2020-10-16,50605
2020-10-19,50751
2020-10-20,50937
2020-10-21,51313
2020-10-22,50741
2020-10-23,50820
2020-10-26,50953
2020-10-27,50984
2020-10-28,50483
2020-10-29,50276
2020-10-30,50641
2020-11-02,51032
2020-11-03,51509
2020-11-04,50829
2020-11-05,51901
2020-11-06,52190
2020-11-09,49795
2020-11-10,50561
2020-11-11,50230
2020-11-12,50652
2020-11-13,50956
2020-11-14,50945
2020-11-16,50870
2020-11-17,50806
2020-11-18,50377
2020-11-19,50063
2020-11-20,50279
2020-11-23,49555
2020-11-24,48683
2020-11-25,48568
2020-11-26,48597
2020-11-27,48264
2020-11-30,47898
2020-12-01,48641
2020-12-02,48959
2020-12-03,49061
2020-12-04,49322
2020-12-07,49923
2020-12-08,50049
2020-12-09,49256
2020-12-10,49081
2020-12-11,49306
2020-12-14,48916
2020-12-15,49416
2020-12-16,49544
2020-12-17,50263
2020-12-18,50100
2020-12-21,50146
2020-12-22,49768
2020-12-23,49909
2020-12-24,49787
2020-12-28,49761
2020-12-29,49722
2020-12-30,49881
2020-12-31,50081
2021-01-01,50280
2021-01-04,51349
2021-01-05,51456
2021-01-06,50545
2021-01-07,50918
2021-01-08,49035
2021-01-11,49386
2021-01-12,49098
2021-01-13,49354
2021-01-14,49238
2021-01-15,48745
2021-01-18,48918
2021-01-19,49011
2021-01-20,49528
2021-01-21,49418
2021-01-22,49131
2021-01-25,49144
2021-01-27,48879
2021-01-28,48672
2021-01-29,49111
2021-02-01,48424
2021-02-02,47752
2021-02-03,47703
2021-02-04,46695
2021-02-05,46978
2021-02-08,47726
2021-02-09,47818
2021-02-10,47863
2021-02-11,47377
2021-02-12,47169
2021-02-15,47118
2021-02-16,46777
2021-02-17,46134
2021-02-18,46046
2021-02-19,46095
2021-02-22,46782
2021-02-23,46632
2021-02-24,46369
2021-02-25,46085
2021-02-26,45569
2021-03-01,45021
2021-03-02,45224
2021-03-03,44721
2021-03-04,44581
2021-03-05,44442
2021-03-08,44233
2021-03-09,44844
2021-03-10,44774
2021-03-11,44876
2021-03-12,44737
2021-03-15,44906
2021-03-16,44820
2021-03-17,44848
2021-03-18,44942
2021-03-19,45008
2021-03-22,44885
2021-03-23,44636
2021-03-24,44841
2021-03-25,44726
2021-03-26,44629
2021-03-29,43754
2021-03-30,43941
2021-03-31,44418
2021-04-01,44957
2021-04-05,44985
2021-04-06,45685
2021-04-07,46128
2021-04-08,46576
2021-04-09,46344
2021-04-12,46188
2021-04-13,46674
2021-04-14,46317
2021-04-15,46881
2021-04-16,47022
2021-04-19,47084
2021-04-20,47498
2021-04-21,47892
2021-04-22,47426
2021-04-23,47169
2021-04-26,47117
2021-04-27,46960
2021-04-28,46697
2021-04-29,46400
2021-04-30,46431
2021-05-03,46963
2021-05-04,46782
2021-05-05,46591
2021-05-06,47536
2021-05-07,47719
2021-05-10,47860
